round,client,trust
37,0,0.01365290336494217
37,1,0.09911742017597458
37,2,0.09513492897156887
37,3,0.00431144316787726
37,4,0.06931317328731752
37,5,0.07665918771514732
37,6,0.05878967920496718
37,7,0.013652903364942702
37,8,0.09038891767916894
37,9,0.00431144316787726
37,10,0.00431144316787726
37,11,0.07451880214293718
37,12,0.07384523982761598
37,13,0.013652903364933874
37,14,0.09778957631274213
37,15,0.04747862449211806
37,16,0.06752371149805024
37,17,0.07758335256090577
37,18,0.00431144316787726
37,19,0.013652903364942987
38,0,0.014832474600235105
38,1,0.06679750239693559
38,2,0.08330976512670839
38,3,0.004683939347443427
38,4,0.08361889208118384
38,5,0.06996140627604618
38,6,0.11164430906814932
38,7,0.014832474600234999
38,8,0.097266433698319
38,9,0.014832474600170006
38,10,0.004683939347443427
38,11,0.0883038293380199
38,12,0.09080066301288149
38,13,0.01483247460023129
38,14,0.04318941270244428
38,15,0.019837246559472995
38,16,0.06593520860473102
38,17,0.08097260483864374
38,18,0.014832474600236106
38,19,0.014832474600235639
39,0,0.014876114302158473
39,1,0.04922865113167656
39,2,0.09197574413660477
39,3,0.004697720305945553
39,4,0.07579172418397996
39,5,0.04835518562619309
39,6,0.0702417862478783
39,7,0.014876114302158539
39,8,0.09412710836104045
39,9,0.004697720305945553
39,10,0.014876114302096637
39,11,0.08831653138965168
39,12,0.06427950341823448
39,13,0.01487611430215623
39,14,0.1090550052133127
39,15,0.11340493730587503
39,16,0.014876114302158558
39,17,0.09187397625459401
39,18,0.004697720305945553
39,19,0.014876114302158969
40,0,0.01556407241838431
40,1,0.10158849894096643
40,2,0.08913294678740985
40,3,0.004914970237385283
40,4,0.07681848311823418
40,5,0.08013339986088011
40,6,0.0821267649642051
40,7,0.015564072418384377
40,8,0.06430969835857087
40,9,0.015564072418373546
40,10,0.015564072418380521
40,11,0.08726306219776626
40,12,0.07490516917134059
40,13,0.015564072418383286
40,14,0.06629508203812039
40,15,0.01556407241838402
40,16,0.08043365560095163
40,17,0.07821479155786357
40,18,0.004914970237385283
40,19,0.015564072418384839
41,0,0.021361862909830796
41,1,0.021361862909831393
41,2,0.11674327475220733
41,3,0.006745851445210778
41,4,0.10552061551792068
41,5,0.02136186290983208
41,6,0.09880524247687453
41,7,0.02136186290983069
41,8,0.05049880223669413
41,9,0.021361862909794308
41,10,0.021361862909826397
41,11,0.10690776380525292
41,12,0.09003575618818693
41,13,0.021361862909828336
41,14,0.041701734567294584
41,15,0.16267647846654124
41,16,0.02136186290983178
41,17,0.021361862909831424
41,18,0.006745851445210778
41,19,0.021361862909831515
42,0,0.014985656280412055
42,1,0.11133700525967072
42,2,0.07773289176353118
42,3,0.004732312509604587
42,4,0.07770570985290814
42,5,0.0772661198536657
42,6,0.04818642896434504
42,7,0.014985656280412278
42,8,0.048214688464681264
42,9,0.014985656280391151
42,10,0.014985656280409343
42,11,0.07801388369127271
42,12,0.06788365197303467
42,13,0.004732312509604587
42,14,0.11390279412442247
42,15,0.014985656280413087
42,16,0.07910442909021874
42,17,0.11654152175074846
42,18,0.004732312509604587
42,19,0.014985656280412665
43,0,0.01590358398124759
43,1,0.027495740322980057
43,2,0.07291108805491239
43,3,0.005022184415131577
43,4,0.09597659909299176
43,5,0.06762547618836254
43,6,0.08804313733407274
43,7,0.015903583981247364
43,8,0.11963250717198858
43,9,0.015903583981055267
43,10,0.01590358398123731
43,11,0.11606716518546195
43,12,0.05692214048261788
43,13,0.015903583981243825
43,14,0.10191037389272586
43,15,0.11614273159359643
43,16,0.015903583981247717
43,17,0.015903583981248345
43,18,0.005022184415131577
43,19,0.015903583981248113
44,0,0.019653101081825993
44,1,0.13780276046878376
44,2,0.10469627269164704
44,3,0.006206242446893286
44,4,0.10096386975893284
44,5,0.05798331975050786
44,6,0.06630089314119841
44,7,0.019653101081825903
44,8,0.049481865317013624
44,9,0.019653101081794265
44,10,0.01965310108182145
44,11,0.09093273166664927
44,12,0.08760805063898426
44,13,0.019653101081825886
44,14,0.089581830108932
44,15,0.01965310108182649
44,16,0.01965310108182599
44,17,0.04501111290868155
44,18,0.006206242446893286
44,19,0.019653101081826368
45,0,0.015883139938217907
45,1,0.01588313993821823
45,2,0.07245920103502271
45,3,0.00501572840154321
45,4,0.08132792018604831
45,5,0.09000106688979571
